SP_open,SP_high,SP_low,SP_close,SP_Ajclose,SP_volume,DJ_open,DJ_high,DJ_low,DJ_close,DJ_Ajclose,DJ_volume,EU_Price,EU_open,EU_high,EU_low,Adj_Close
132.339996,134,131.979996,133.470001,116.423027,230615500,12497.88965,12698.67969,12497.66016,12651.91016,12651.91016,128640000,1.2631,1.2565,1.2638,1.2542,157.75
133.380005,134.259995,133.100006,134.139999,117.613701,169444500,12652.20996,12774.7002,12651.37988,12767.16992,12767.16992,284290000,1.2638,1.2628,1.2666,1.2592,157.839996
133.580002,134.729996,133.279999,134.399994,117.841667,131360900,12767.01953,12781.92969,12696.17969,12741.82031,12741.82031,111280000,1.2576,1.2721,1.2748,1.2557,157.929993
135.080002,136.25,134.369995,135.699997,118.981483,137382600,12744.62012,12898.94043,12744.46973,12837.33008,12837.33008,125180000,1.2688,1.2575,1.2731,1.2568,157.160004
135.710007,136.100006,134.270004,135.479996,118.788589,206451800,12837.09961,12877.17969,12744.91992,12824.38965,12824.38965,119110000,1.2704,1.2687,1.2744,1.2637,155.970001
135.639999,135.779999,132.330002,132.440002,116.123146,205272200,12823.09961,12857.38965,12561.45996,12573.57031,12573.57031,146750000,1.2544,1.2706,1.2706,1.2531,152.020004
133.130005,133.710007,132.619995,133.460007,117.017487,130029200,12574.82031,12674.08008,12574.66992,12640.78027,12640.78027,209990000,1.257,1.2548,1.2585,1.252,152.639999
132.050003,132.100006,130.850006,131.320007,115.141136,146375700,12639.79981,12639.87012,12458.00977,12502.66016,12502.66016,134090000,1.2505,1.2553,1.2559,1.2471,153.759995
131.699997,132.380005,130.929993,131.979996,115.719803,141634000,12503.57031,12576.41016,12452.03027,12534.66992,12534.66992,109270000,1.249,1.2502,1.2531,1.2442,152.619995
132.419998,133.429993,131.970001,133.169998,116.763191,108088000,12532.92969,12646.87012,12532.70996,12627.00977,12627.00977,97950000,1.247,1.2492,1.2511,1.2445,152.830002
132.289993,132.990005,131.279999,132.789993,116.42997,169242100,12626.25,12626.25,12450.16992,12602.25977,12602.25977,125870000,1.244,1.2471,1.2526,1.2407,151.050003
135.199997,136.270004,134.850006,136.100006,119.332214,212250900,12604.59961,12880.38965,12604.53027,12880.08984,12880.08984,191630000,1.266,1.2441,1.2694,1.2434,155.190002
136.479996,136.649994,135.520004,136.509995,119.691673,129524500,12879.70996,12902.12012,12795.48047,12871.38965,12871.38965,109640000,1.2586,1.2671,1.2673,1.2567,155.089996
136.479996,137.509995,136.339996,137.410004,120.480865,80450000,12868.05957,12946.2002,12845.28027,12943.66016,12943.66016,63850000,1.2607,1.2584,1.263,1.2559,157.460007
136.899994,137.800003,136.289993,136.789993,119.93721,126177500,12941.84961,12961.29981,12852.24023,12896.66992,12896.66992,97800000,1.2393,1.2527,1.2539,1.2363,155.679993
135.470001,135.770004,134.850006,135.490005,118.797394,151192100,12889.40039,12889.40039,12702.99023,12772.46973,12772.46973,96760000,1.2288,1.2392,1.2403,1.226,153.710007
135.380005,135.570007,134.699997,135.320007,118.648331,103780500,12772.01953,12772.01953,12686.57031,12736.29004,12736.29004,100150000,1.2319,1.2271,1.2325,1.2256,154.039993
136.009995,136.229996,133.679993,134.139999,117.613701,167884800,12733.87012,12830.29004,12606.91016,12653.12012,12653.12012,114760000,1.2252,1.2317,1.2336,1.2235,152.149994
134.210007,134.600006,133.380005,134.160004,117.631233,141733400,12653.04004,12661.96973,12534.33008,12604.53027,12604.53027,128420000,1.2239,1.2252,1.2298,1.2213,152.990005
133.380005,134.229996,132.600006,133.509995,117.061317,143583200,12602.70996,12630.63965,12492.25,12573.26953,12573.26953,142760000,1.2198,1.2239,1.225,1.2167,152.589996
133.860001,135.889999,133.839996,135.75,119.025352,129642600,12573.73047,12784.73047,12573.04004,12777.08984,12777.08984,121080000,1.2252,1.2197,1.2258,1.2161,154.139999
135.440002,135.830002,134.899994,135.429993,118.744736,97525200,12776.33008,12779.58008,12690.04981,12727.20996,12727.20996,93500000,1.2273,1.2255,1.2291,1.2174,154.210007
135.970001,136.639999,134.550003,136.360001,119.560173,138860300,12728.73047,12829.23047,12645.09961,12805.54004,12805.54004,119620000,1.2294,1.2273,1.2317,1.2188,153.470001
136.039993,137.639999,135.960007,137.369995,120.44574,113349700,12796.98047,12921.94043,12754.61035,12908.7002,12908.7002,130070000,1.2284,1.2296,1.2307,1.2216,153.050003
137.649994,138.179993,137.210007,137.729996,120.761414,129847300,12909.61035,12977.57031,12889.92969,12943.36035,12943.36035,139480000,1.228,1.2284,1.2322,1.2228,153.380005
136.949997,137.160004,136.320007,136.470001,119.656639,142904500,12942.67969,12942.83008,12810.34961,12822.57031,12822.57031,210770000,1.2157,1.2279,1.2283,1.2144,153.669998
134.470001,136.380005,133.839996,135.089996,118.446625,145210900,12820.4502,12820.4502,12583.41016,12721.45996,12721.45996,137760000,1.2115,1.2119,1.2146,1.2069,153.029999
135.190002,135.25,133.029999,133.929993,117.429565,173301200,12720.92969,12730.08984,12521.83984,12617.32031,12617.32031,131530000,1.206,1.2116,1.2138,1.2041,153.520004
134.210007,134.559998,133.25,133.960007,117.455833,129122300,12617.76953,12732.76953,12617.62012,12676.04981,12676.04981,127320000,1.2159,1.206,1.2172,1.2052,155.669998
